"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2020-12-08,-0.5,4.1,14:08,-3.5,5:40,7.6
"		108",서울,2020-12-09,1.5,6.2,13:46,-4.1,6:54,10.3
"		108",서울,2020-12-10,5.8,9.3,15:00,3.2,7:56,6.1
"		108",서울,2020-12-11,5.3,9.4,13:42,2.6,7:12,6.8
"		108",서울,2020-12-12,2.3,6.1,14:32,-0.3,6:29,6.4
"		108",서울,2020-12-13,-1.1,2,2:29,-6,23:50,8
"		108",서울,2020-12-14,-7.7,-5,14:54,-9.7,7:42,4.7
"		108",서울,2020-12-15,-8.3,-4.6,15:24,-11.1,7:56,6.5
"		108",서울,2020-12-16,-8.3,-3.9,15:26,-11.2,5:59,7.3
"		108",서울,2020-12-17,-4.9,0.8,15:31,-11.1,4:54,11.9
"		108",서울,2020-12-18,-2.1,1.8,14:25,-6.4,23:43,8.2
"		108",서울,2020-12-19,-5.1,-1.2,15:40,-9.6,7:28,8.4
"		108",서울,2020-12-20,-3.7,1.1,15:49,-8.2,7:14,9.3
"		108",서울,2020-12-21,-1,4.7,15:00,-6,7:38,10.7
"		108",서울,2020-12-22,2,7.2,14:44,-2.5,2:19,9.7
"		108",서울,2020-12-23,4.5,8.5,14:41,-0.4,4:40,8.9
"		108",서울,2020-12-24,2.6,6.1,1:08,-2,23:40,8.1
"		108",서울,2020-12-25,-0.8,3.5,14:20,-4.7,7:55,8.2
"		108",서울,2020-12-26,2.2,8,14:43,-2.1,4:04,10.1
"		108",서울,2020-12-27,5.8,10,14:12,1.4,0:01,8.6
"		108",서울,2020-12-28,6.7,11.4,13:44,4.2,8:26,7.2
"		108",서울,2020-12-29,0.1,4.3,0:06,-6.2,23:56,10.5
"		108",서울,2020-12-30,-10.9,-6.2,0:01,-12.9,22:22,6.7
"		108",서울,2020-12-31,-8.9,-5,15:12,-12.9,1:16,7.9
"		108",서울,2021-12-01,-1.3,1.5,15:41,-3,23:35,4.5
"		108",서울,2021-12-02,1.3,5,20:29,-4.6,7:24,9.6
"		108",서울,2021-12-03,1.9,4.6,3:19,-1.8,23:48,6.4
"		108",서울,2021-12-04,1.4,7,14:54,-2.7,4:20,9.7
"		108",서울,2021-12-05,2.9,9.6,14:23,-2.3,7:28,11.9
"		108",서울,2021-12-06,5.4,12.1,14:21,-0.7,6:54,12.8
"		108",서울,2021-12-07,6.8,13.3,15:12,2.6,7:21,10.7
"		108",서울,2021-12-08,6.7,13.3,14:56,1.9,7:31,11.4
"		108",서울,2021-12-09,6.5,9.7,14:40,2.7,5:26,7
"		108",서울,2021-12-10,7,8.2,14:41,5.8,21:39,2.4
