movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew,genres,directors,actors,showTm,watchGradeNm,nations
20040754,블랙아웃,2005-04-07,64411,414301000,7,NEW,스릴러,필립 카우프만,"사무엘 L. 잭슨,앤디 가르시아,애슐리 쥬드",97,15세관람가,독일
20050058,화이트 노이즈,2005-04-08,27811,179999000,10,NEW,"공포(호러),미스터리,스릴러",제프리 삭스,"데보라 카라 웅거,찬드라 웨스트,마이클 키튼",101,15세관람가,미국
20040772,역전의 명수,2005-04-15,184708,1173671500,2,OLD,코미디,박흥식,"정준호,윤소이,김혜나,박정수,최상훈",122,15세관람가,한국
20050034,미트 페어런츠2,2005-04-15,99482,653040500,5,NEW,코미디,제이 로치,"더스틴 호프만,벤 스틸러,로버트 드 니로",115,15세관람가,미국
20040687,아나콘다2 : 사라지지 않는 저주,2005-04-15,34556,214384500,9,NEW,공포(호러),드와이트 H. 리틀,"카디 스트릭랜드,조니 메스너",96,12세관람가,미국
20050060,어바웃 러브,2005-04-21,145756,955853500,3,OLD,드라마,존 헤이,더그레이 스콧,100,15세관람가,영국
20050069,인터프리터,2005-04-22,113615,736270000,6,OLD,"드라마,스릴러",시드니 폴락,"숀 펜,니콜 키드먼",128,12세관람가,영국
20050077,댄서의 순정,2005-04-28,470958,3017155000,1,NEW,드라마,박영훈,"박건형,문근영,김지영,임진승,이정희",110,12세관람가,한국
20050065,트리플 X2 : 넥스트 레벨,2005-04-29,189853,1220122500,2,NEW,"범죄,액션,스릴러,어드벤처",리 타마호리,"사무엘 L. 잭슨,윌렘 데포,아이스 큐브",100,12세관람가,미국
20050072,착신아리2,2005-04-29,95066,597399500,6,NEW,공포(호러),츠카모토 렌페이,"요시자와 히사시,미무라,세토 아사카,이시바시 렌지,와니부치 하루코",106,15세관람가,일본
20050076,혈의 누,2005-05-04,700519,4488759506,1,NEW,스릴러,김대승,"차승원,박용우,지성,장석원,윤세아",119,18세관람가,한국
20050078,킹덤 오브 헤븐,2005-05-04,545436,3476275000,3,NEW,액션,리들리 스콧,"리암 니슨,제레미 아이언스,올랜도 블룸,에바 그린",137,15세관람가,미국
20050074,밀리언즈,2005-05-04,112518,690941000,5,OLD,"코미디,드라마",대니 보일,"알렉산더 나단 에텔,루이스 오웬 맥기본",94,전체관람가,영국
20050061,코치 카터,2005-05-13,36693,230580500,7,NEW,드라마,토머스 카터,"사무엘 L. 잭슨,로버트 리차드,롭 브라운",136,15세관람가,미국
20050095,킨제이 보고서,2005-05-13,27959,179288500,8,NEW,드라마,빌 콘돈,"리암 니슨,로라 린니",118,18세관람가,미국
20050046,남극일기,2005-05-19,468191,2942400500,1,OLD,스릴러,임필성,"박희순,유지태,송강호,윤제문,최덕문",114,15세관람가,한국
20050083,연애술사,2005-05-20,237140,1494582500,4,NEW,"멜로/로맨스,코미디",천세환,"연정훈,박진희,김용훈,최은주,박용식",109,15세관람가,한국
20050101,하우스 오브 왁스,2005-05-20,103401,674366500,6,OLD,공포(호러),자움 세라,채드 마이클 머레이,113,18세관람가,미국
20050092,"우리, 사랑일까요?",2005-05-20,63705,415185500,7,OLD,"드라마,코미디,멜로/로맨스",나이젤 콜,"애쉬튼 커처,아만다 피트",107,15세관람가,미국
20050085,스타워즈 에피소드3 - 시스의복수,2005-05-26,535419,3403843500,1,OLD,SF,조지 루카스,"이완 맥그리거,헤이든 크리스텐슨,나탈리 포트만",139,전체관람가,미국
20050045,"안녕, 형아",2005-05-27,259801,1586642500,4,OLD,드라마,임태형,"박원상,최우혁,배종옥,박지빈,양현우",95,전체관람가,한국
20050087,그루지,2005-05-26,215361,1320295500,5,OLD,공포(호러),시미즈 다카시,"사라 미셀 겔러,베어 제이슨",92,15세관람가,일본
20050117,pm 11:14,2005-06-02,108619,699022000,5,OLD,"드라마,스릴러,범죄,코미디",그레그 마크스,"힐러리 스웽크,패트릭 스웨이즈",85,15세관람가,미국
20050062,링2(2005),2005-06-03,96531,605883503,6,OLD,공포(호러),나카타 히데오,"사이먼 베이커,나오미 왓츠",109,15세관람가,미국
20050126,패시파이어,2005-06-03,30642,196478500,9,NEW,"액션,코미디",아담 쉥크만,"빈 디젤,로렌 그레이엄",95,전체관람가,미국
20050110,연애의 목적,2005-06-10,478931,3107393500,1,OLD,"드라마,코미디,멜로/로맨스",한재림,"강혜정,박해일,이은숙,이대연,박그리나",121,18세관람가,한국
20050064,간 큰 가족,2005-06-09,424981,2677703390,2,OLD,코미디,조명남,"감우성,김수미,김수로,김도연,성지루",102,12세관람가,한국
20050113,미스터 & 미세스 스미스,2005-06-16,736175,4725523000,1,NEW,"멜로/로맨스,액션,어드벤처,스릴러",더그 라이만,"안젤리나 졸리,브래드 피트,빈스 본",120,15세관람가,미국
20040638,텍사스 전기톱 연쇄살인사건,2005-06-16,81099,527987000,5,OLD,공포(호러),마커스 니스펠,제시카 비엘,98,18세관람가,미국
20050001,2005 [통합]패키지영화, ,24388,200124500,10,OLD,,,,,,기타
