movieCd,movieNm,openDt,audiAcc,salesAcc,rank,rankOldAndNew
20232639,극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,50010,450872934,7,OLD
20218541,밀수,2023-07-26,40968,411549361,8,OLD
20232491,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,24222,210526500,9,OLD
20218935,더 문,2023-08-02,20926,228857740,10,NEW
20193879,비공식작전,2023-08-02,700198,6779882923,2,OLD
20232836,몬스터 패밀리 2,2023-08-02,67043,597736867,8,OLD
20204264,콘크리트 유토피아,2023-08-09,1546221,15119624439,1,OLD
20232698,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,2023-08-10,39652,348472250,10,OLD
20226431,오펜하이머,2023-08-15,1592681,16949480085,1,OLD
20226500,달짝지근해: 7510,2023-08-15,457586,4499820311,3,OLD
20192995,보호자,2023-08-15,102345,1015212117,6,OLD
20233052,메가로돈 2,2023-08-15,98093,1028764384,7,OLD
20232629,마야 3: 숲속 왕국의 위기,2023-08-24,21261,183229200,8,OLD
20233014,타겟,2023-08-30,260924,2466020395,4,OLD
20223831,스파이 코드명 포춘,2023-08-30,36397,338826524,7,NEW
20233075,신체모음.zip,2023-08-30,35212,315755700,8,OLD
20233569,조이 라이드,2023-08-30,10257,87337989,10,OLD
20224667,잠,2023-09-06,539031,5302628084,1,OLD
20234044,베니스 유령 살인사건,2023-09-13,132054,1301312807,2,OLD
20233643,닌자터틀: 뮤턴트 대소동,2023-09-14,50872,467263781,6,OLD
20233743,아이유 콘서트 : 더 골든 아워,2023-09-13,44525,1048085000,7,NEW
20228016,"여름을 향한 터널, 이별의 출구",2023-09-14,37725,384442100,8,OLD
20233235,가문의 영광: 리턴즈,2023-09-21,95269,911229823,2,OLD
20233411,그란 투리스모,2023-09-20,77890,780098581,3,OLD
20233597,아르고 원정대: 꼬마 영웅 패티의 대모험,2023-09-21,39256,352372028,7,OLD
20227410,천박사 퇴마 연구소: 설경의 비밀,2023-09-27,1173944,11346291763,1,OLD
20197122,1947 보스톤,2023-09-27,570825,5484758823,2,OLD
20223896,거미집,2023-09-27,224678,2151998588,3,OLD
20234281,더 넌 2,2023-09-27,195036,2005435400,4,OLD
20234099,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,2023-09-28,69464,634459773,6,OLD
20228819,30일,2023-10-03,619882,6115290021,1,OLD
20233879,크리에이터,2023-10-03,189040,2034650743,4,OLD
20234253,퍼피 구조대: 더 마이티 무비,2023-10-06,49099,465740541,8,OLD
20234277,사나: 저주의 아이,2023-10-04,36100,349482100,9,NEW
20227626,화란,2023-10-11,166901,1634407535,2,OLD
20212667,화사한 그녀,2023-10-11,60264,525751400,7,OLD
20232894,플라워 킬링 문,2023-10-19,69887,674106890,3,OLD
20234853,엑소시스트: 믿는 자,2023-10-18,62027,645113879,4,OLD
20234213,익스펜더블 4,2023-10-18,50222,484594060,6,OLD
20233178,블루 자이언트,2023-10-18,43580,445656815,8,OLD
20234663,바람 따라 만나리 : 김호중의 계절,2023-10-18,25146,576082500,9,OLD
20234664,그대들은 어떻게 살 것인가,2023-10-25,947965,9186205308,1,NEW
20224517,용감한 시민,2023-10-25,170454,1575799226,3,OLD
20200622,소년들,2023-11-01,17726,159125000,7,OLD
20234666,톡 투 미,2023-11-01,88122,875208105,4,OLD
20235459,테일러 스위프트 디 에라스 투어,2023-11-03,13723,397500500,9,NEW
20235034,더 마블스,2023-11-08,446883,4511638126,1,NEW
20225894,뉴 노멀,2023-11-08,61955,610405108,5,OLD
20235030,프레디의 피자가게,2023-11-15,340624,3315505458,1,OLD
20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,120497,1201832412,4,OLD
20212866,서울의 봄,2023-11-22,1892755,18349585770,1,OLD
20234957,스노우 폭스: 썰매개가 될 거야!,2023-11-23,44701,388282501,6,OLD
20234114,괴물,2023-11-29,23648,223417000,8,NEW
20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,41317,347130400,9,OLD
20202247,싱글 인 서울,2023-11-29,225463,2091612981,2,OLD
20235261,극장판 파워 디지몬 더 비기닝,2023-11-29,24440,237344200,7,OLD
20234798,극장판 우당탕탕 은하안전단: 진정한 용기!,2023-11-30,22117,166812610,9,OLD
20190324,3일의 휴가,2023-12-06,216568,2056196817,2,OLD
20235098,나폴레옹,2023-12-06,139576,1436487978,3,OLD
20234673,뽀로로 극장판 슈퍼스타 대모험,2023-12-13,36259,344362368,7,NEW
20235697,엔시티 네이션 : 투 더 월드 인 시네마,2023-12-06,19906,442017500,8,NEW
20235698,쏘우 X,2023-12-13,50316,524302177,6,OLD
20235980,말하고 싶은 비밀,2023-12-13,45696,441180290,8,OLD
20203702,노량: 죽음의 바다,2023-12-20,27503,274591010,9,NEW
20235735,아쿠아맨과 로스트 킹덤,2023-12-20,370351,3857679928,3,NEW
20236146,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,216971,2125570815,4,OLD
20235596,트롤: 밴드 투게더,2023-12-20,150020,1374296883,5,OLD
20233299,크레센도,2023-12-20,19125,210759900,10,OLD
20235290,도티와 영원의 탑,2023-12-27,41696,388161976,8,OLD
20236045,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,38823,319879760,9,OLD
20236080,류이치 사카모토: 오퍼스,2023-12-27,31195,286201031,10,OLD
20235834,위시,2024-01-03,622619,5995723570,3,OLD
20235253,외계+인 2부,2024-01-10,649101,6289975563,1,OLD
20235583,인투 더 월드,2024-01-10,141143,1310094521,5,OLD
20235353,길위에 김대중,2024-01-10,58643,565382177,7,OLD
20206946,시민덕희,2024-01-24,29093,293238794,8,OLD
20235854,덤 머니,2024-01-17,24992,233432545,9,OLD
20236464,도그맨,2024-01-24,35065,330540933,7,OLD
20236180,웡카,2024-01-31,786720,7591137610,1,OLD
20247074,건국전쟁,2024-02-01,35651,362466234,6,OLD
20234730,추락의 해부,2024-01-31,31539,308423978,7,OLD
20246964,정글번치: 월드투어,2024-01-31,20714,164238900,9,OLD
20212668,도그데이즈,2024-02-07,22309,207263528,10,OLD
20211477,데드맨,2024-02-07,174833,1674313287,5,OLD
20231415,소풍,2024-02-07,136265,1261602879,6,OLD
20234581,아가일,2024-02-07,96162,1002430943,7,OLD
20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,42536,384705766,8,OLD
20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,269639,3181713600,3,OLD
20234675,파묘,2024-02-22,2301437,22416849444,1,NEW
20247219,사운드 오브 프리덤,2024-02-21,30663,338984700,7,OLD
20247437,브레드이발소: 셀럽 인 베이커리타운,2024-03-01,18875,174148890,9,OLD
20236295,듄: 파트2,2024-02-28,820798,9040645194,2,OLD
20247473,아이엠 티라노,2024-03-01,35735,299805800,7,OLD
20247063,바튼 아카데미,2024-02-21,24393,231820474,10,OLD
20236732,가여운 것들,2024-03-06,65421,652026459,4,OLD
20234789,패스트 라이브즈,2024-03-06,55097,492331816,5,OLD
20236488,밥 말리: 원 러브,2024-03-13,27283,250117549,6,OLD
20247782,랜드 오브 배드,2024-03-13,25815,220339722,7,OLD
20247053,메이 디셈버,2024-03-13,23931,224006569,10,OLD
